# items_ru.tsv — названия предметов, привязанные к внутреннему ID.
# Колонки: id | внутреннее имя (для чтения человеком) | русское название.
# Ищется по id, вторая колонка не используется кодом — она нужна, чтобы
# файл можно было читать и сравнивать глазами.
#
# ЗАЧЕМ. Раньше названия предметов чинились по русскому тексту: словарь
# translations.txt сопоставлял машинную строку с нашей. Такое правило
# умирает молча, стоит разработчику переписать свой перевод. Внутренний id
# он не трогает, поэтому привязка к нему переживает обновление игры.
#
# ВАЖНО: id, а не внутреннее имя. Имена НЕ уникальны — один rawName делят
# предмет и его рецепт, а также тировые варианты («Рубаха гражданина» T0
# и «Рубаха жителя» T1). Уникален только числовой id.
#
# Файл обязан лежать рядом с DLL, как translations.txt и dialogue_ru.tsv.
# Пересоздаётся из review/item_dump.tsv, см. docs/JOURNAL.md.
658	items_Consumables_Foods_CookedFoods_AppleVinegar	Яблочный уксус
758	items_Consumables_Foods_CookedFoods_BarbecuedRibs	Рёбрышки на гриле
659	items_Consumables_Foods_CookedFoods_BeefAndPotatoes	Говядина и картофель
642	items_Consumables_Foods_CookedFoods_BraisedLegOfLamb	Тушёная баранья нога
507	items_Consumables_Foods_CookedFoods_CornWine	Кукурузное вино
759	items_Consumables_Foods_CookedFoods_DeliciousSoup	Вкусный суп
760	items_Consumables_Foods_CookedFoods_DryBeef	Вяленая говядина
513	items_Consumables_Foods_CookedFoods_ElvesSoup	Эльфийский суп
411	items_Consumables_Foods_CookedFoods_FriedEgg	Жареное яйцо
645	items_Consumables_Foods_CookedFoods_GrilledFishRow	Стейк из лосося на гриле
761	items_Consumables_Foods_CookedFoods_HoneyBearPaw	Медвежья лапа в мёду
524	items_Consumables_Foods_CookedFoods_HoneyMead	Медовуха
525	items_Consumables_Foods_CookedFoods_HoneyTea	Медовый чай
526	items_Consumables_Foods_CookedFoods_JammyBread	Хлеб с джемом
647	items_Consumables_Foods_CookedFoods_King'sBanquet	Королевский банкет
528	items_Consumables_Foods_CookedFoods_LindelMead	Линдельская медовуха
662	items_Consumables_Foods_CookedFoods_Maltliquor	Солодовый ликёр
529	items_Consumables_Foods_CookedFoods_Manthro	Мантро
531	items_Consumables_Foods_CookedFoods_MushroomFishSoup	Грибной рыбный суп
532	items_Consumables_Foods_CookedFoods_NorthumbriaAle	Нортумбрийский эль
534	items_Consumables_Foods_CookedFoods_RedDwarfStew	Рагу рыжего гнома
399	items_Consumables_Foods_CookedFoods_Rhum	Ром
397	items_Consumables_Foods_CookedFoods_RoastChickenLeg	Жареная куриная ножка
536	items_Consumables_Foods_CookedFoods_RoastPork	Жареная свинина
664	items_Consumables_Foods_CookedFoods_Ryebread	Ржаной хлеб
762	items_Consumables_Foods_CookedFoods_SaltRatMeat	Солёная крысятина
763	items_Consumables_Foods_CookedFoods_SnakeDishes	Блюдо из змеи
657	items_Consumables_Foods_CookedFoods_VenisonSauce	Оленина в соусе с корицей
764	items_Consumables_Foods_CookedFoods_VisceralSoup	Суп из потрохов
661	items_Consumables_Foods_CookedFoods_Wine	Вино
0	items_Consumables_Foods_FoodIngredients_Apple	Яблоко
665	items_Consumables_Foods_FoodIngredients_Beef	Говядина
410	items_Consumables_Foods_FoodIngredients_Bread	Хлеб
464	items_Consumables_Foods_FoodIngredients_Carrot	Морковь
396	items_Consumables_Foods_FoodIngredients_Cheese	Сыр
506	items_Consumables_Foods_FoodIngredients_Corn	Кукуруза
512	items_Consumables_Foods_FoodIngredients_Egg	Яйцо
515	items_Consumables_Foods_FoodIngredients_Fish	Рыба
517	items_Consumables_Foods_FoodIngredients_Flour	Мука
522	items_Consumables_Foods_FoodIngredients_Honey	Мёд
516	items_Consumables_Foods_FoodIngredients_LegOfLamb	Баранья нога
530	items_Consumables_Foods_FoodIngredients_Mushroom	Гриб
533	items_Consumables_Foods_FoodIngredients_Pork	Свинина
412	items_Consumables_Foods_FoodIngredients_Potato	Картофель
537	items_Consumables_Foods_FoodIngredients_Salt	Соль
400	items_Consumables_Foods_FoodIngredients_Sausage	Колбаса
538	items_Consumables_Foods_FoodIngredients_TeaLeaf	Чайный лист
519	items_Consumables_Foods_FoodIngredients_Tomato	Помидор
508	items_Consumables_Foods_FoodIngredients_Venison	Оленина
541	items_Consumables_Foods_FoodIngredients_Wheat	Пшеница
509	items_Consumables_Foods_FoodIngredients_Yeast	Дрожжи
895	items_Consumables_Foods_CookedFoods_BarbecuedRibs	Рецепт: Рёбрышки на гриле
236	items_Consumables_Foods_CookedFoods_BeefAndPotatoes	Рецепт: Говядина и картофель
238	items_Consumables_Foods_CookedFoods_BraisedLegOfLamb	Рецепт: Тушёная баранья нога
239	items_Consumables_Foods_CookedFoods_Ryebread	Рецепт: Ржаной хлеб
329	items_Consumables_Foods_CookedFoods_CornWine	Рецепт: Кукурузное вино
897	items_Consumables_Foods_CookedFoods_DeliciousSoup	Рецепт: Вкусный суп
898	items_Consumables_Foods_CookedFoods_DryBeef	Рецепт: Вяленая говядина
331	items_Consumables_Foods_CookedFoods_ElvesSoup	Рецепт: Эльфийский суп
332	items_Consumables_Foods_CookedFoods_FriedEgg	Рецепт: Жареное яйцо
899	items_Consumables_Foods_CookedFoods_GrilledFishRow	Рецепт: Стейк из лосося на гриле
900	items_Consumables_Foods_CookedFoods_HoneyBearPaw	Рецепт: Медвежья лапа в мёду
334	items_Consumables_Foods_CookedFoods_HoneyCake	Рецепт: Медовый торт
